id,abbreviation,name,type
4140,ACT/CAIN Zimbabwe,ACT Alliance / Christian Aids Initiatives Network Zimbabwe,NGO
8502,ACT/CA UK,ACT Alliance / Christian Aid UK,NGO
8470,ACT/CC,ACT Alliance / Christian Care,NGO
8466,ACT/CCDB,ACT Alliance / Christian Commission for Development in Bangladesh,NGO
8450,ACT/CRWRC,ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),NGO
8913,ACT / CWS,ACT Alliance / Christian World Service,NGO
8482,ACT/CoS,ACT Alliance / Church of Sweden,NGO
8597,ACT/CWS,ACT Alliance / Church World Service,NGO
8497,ACT/CWS Indonesia,ACT Alliance / Church World Service - Indonesia,NGO
10113,ACT Alliance / CEDES,ACT Alliance / Comité Ecuménico para o Desenvolvimento Social,NGO
3892,ACT/CWS-A,ACT Alliance / Community World Service Asia,NGO
8572,ACT/DCA,ACT Alliance / DanChurchAid,NGO
8957,ACT/DCA-NCA Palestine,ACT Alliance / Dan Church Aid - Norwegian Church Aid Joint office in Palestine,NGO
9324,ACT/Diaconia Burundi,ACT Alliance / Diaconia Burundi,NGO
8491,"ACT/Diakonia, Sweden","ACT Alliance / Diakonia, Sweden",NGO
8551,ACT/Diakonie,ACT Alliance / Diakonie,NGO
8584,ACT/Diakonie Austria,ACT Alliance / Diakonie Austria,NGO
8477,ACT/Diakonie Emergency Aid,ACT Alliance / Diakonie Emergency Aid,NGO
7361,ACT/DKH,ACT Alliance / Diakonie Katastrophenhilfe,NGO
8460,ACT/EOC,ACT Alliance / Ethiopian Orthodox Church,NGO
8500,ACT/FCA,ACT Alliance / Finn Church Aid,NGO
8574,ACT/FCA/MAG,ACT Alliance / Finnchurchaid/ Mines Advisory Group,NGO
8540,ACT/HIA,ACT Alliance / Hungarian Interchurch Aid,NGO
8536,ACT/ICA,ACT Alliance / Icelandic Church Aid,NGO
8595,ACT/ICCO,ACT Alliance / Interchurch Organisation for Development Co-operation,NGO
8483,ACT/KIA,ACT Alliance / Kerk in Actie - Netherlands,NGO
8530,ACT/LWD,ACT Alliance / Life With Dignity,NGO
8552,ACT/LDS,ACT Alliance / Lutheran Development Service,NGO
8522,ACT/LWF,ACT Alliance / Lutheran World Federation,NGO
8527,ACT/LWF Nepal,ACT Alliance / Lutheran World Federation Nepal,NGO
8521,ACT/LWR,ACT Alliance / Lutheran World Relief,NGO
8593,ACT/LWR (Canada),ACT Alliance / Lutheran World Relief (LWR/Canada),NGO
8604,ACT/NCCK,ACT Alliance / National Council of Churches of Kenya,NGO
8539,ACT/NCA,ACT Alliance / Norwegian Church Aid,NGO
8752,ACT / Philanthropy,ACT Alliance / Philanthropy Charitable Fund of the Serbian Orthodox Church,NGO
8457,ACT/PDA,ACT Alliance / Presbyterian Disaster Assistance,NGO
8615,ACT/SCH,ACT Alliance / Service Chrétien d'Haïti,NGO
8563,ACT/SP,ACT Alliance / Solidarité Protestante,NGO
5069,ACT/SCC,ACT Alliance / Sudan Council of Churches,Private organization/foundation
8475,ACT/UCC,ACT Alliance / United Church of Canada,Private organization/foundation
8571,ACT/UMCOR,ACT Alliance / United Methodist Committee on Relief,NGO
8630,ACT/CRWRC/World Renew,ACT Alliance / World Renew,NGO
8436,ACT/YAKKUM (YEU),ACT Alliance / YAKKUM Emergency Unit,NGO
8868,AI,Act and Impact,NGO
2197,Actavis ,Actavis Group,Private organization/foundation
470,Actelion,Actelion,Private organization/foundation
8374,Act-I,Act-Initiative,NGO
5197,AAHI,Action Africa Help International,NGO
3226,AADSOM,Action Against Disasters Somalia,NGO
9257,AAH,Action Against Hunger,NGO
1007,AVOWAC,Action against Violence on Women and Children,NGO
3348,ActionAid,ActionAid International,NGO
6957,AAIA,ActionAid International Australia,NGO
11531,AAIDRC,ActionAid International Democratic Republic of the Congo,NGO
11236,AAIH,ActionAid International Haiti,NGO
194,AAIK,ActionAid International Kenya,NGO
1860,AAINp,ActionAid International Nepal,NGO
9599,AAINg,ActionAid International Nigeria,NGO
8603,AAIPk,ActionAid International Pakistan,NGO
9575,AAIS,ActionAid International Somaliland,NGO
2179,AAIU,ActionAid International Uganda,NGO
4674,AAIZ,ActionAid International Zimbabwe,NGO
2627,ADSI,Action and Development Solidaires International,NGO
1375,ACTIONARM,ACTIONARM,NGO
6504,ADAP,Action au Développement Agro-Pastoral,NGO
11343,ABC,Action Burundaise de Compassion,NGO
3007,ACT,Action by Churches Together (ACT),NGO
999,ACCOPA,Action Chretienne pour combattre la pauvretre et l'analphabetisme,NGO
6654,ACTS,Action Chrétienne Tous pour la Solidarité,NGO
9809,ACODDEP,Action Communautaire pour le Développement Durable et le Progrès,NGO
10800,ACODIS,Action Concerté pour le Développement Intégré au Sahel,NGO
4536,ACF,Action Contre la Faim,NGO
10822,AMIN,Action contre la misère au Niger,NGO
3331,ACP,Action Contre la Pauvreté (ACP),NGO
11820,ASD Togo,Action d'Aide Sociale pour le Développement,Private organization/foundation
5938,ADDA,Action de Dévelopement Durable en Afrique,NGO
1506,ALSEP,Action de lutte contre la pollution des sources et des puits,Private organization/foundation
8662,APDC,Action de Partenariat pour le Développement Communautaire,NGO
4208,ACAT,Action des Chrétiens pour l'Abolition de la Torture,NGO
7152,AGDL,Action des groupements pour le développement local,NGO
9224,ASDHD,Action de Solidarité pour les Droits Humains et la Démocratie,NGO
6458,ADE,Action d'Espoir,NGO
9162,AVLCM,Action des volontaires pour la lutte contre la Malnutrition des Enfants,NGO
11198,AVUDS,Action des Volontaires Unis pour le Développement et la Santé,NGO
3757,Action d'Urgence International,Action d'Urgence International,NGO
8155,AFEV,Action en Faveur des Enfants Vulnérables,NGO
3080,AIDC,Action et Initiatives pour le Développement Communautaire (AIDC),NGO
8230,ACDF SS,Action for Children Development Foundation South Sudan,NGO
4221,ACT-Afghanistan,Action for Community Transformation Organization - Afghanistan,NGO
9003,ACR,Action for Conflict Resolution,NGO
540,AFOD,Action for Development,NGO
1078,HARD,"Action for Health, Research and Development",NGO
9305,AFH,Action For Humanity,NGO
2756,Action for Independent Media,Action for Independent Media,NGO
9688,ART,Action for Integrated Rural Transformation,NGO
10615,APD,Action for Peace and Development,NGO
9126,AFPED,Action For Peace and Economic Development,NGO
6460,APSD,Action for Peace and Sustainable Development,NGO
7205,APSUD,Action for Population and Sustainable Development,NGO
21,ARELIMOK,Action for Poverty Reduction and Livestock Modernization in Karamoja,NGO
9742,ART,Action for Recovery and Transformation,NGO
7659,ARID,Action for Reform and International Development,NGO
336,ARD,Action for Relief and Development,NGO
7042,ARD,Action for Rural Development,NGO
10660,ASD,Action for Social Development,NGO
11641,ASDEPO,Action for Social Development and Environmental Protection Organization,NGO
9292,ASWAD,Action for Society Welfare Awareness and Development,NGO
9719,ASIMO,Action for Sustainable Improvement and Management Organization,NGO
9744,ASSO,Action for Systems Strengthening Organisation,NGO
4523,ACR,Action for the Rights of the Child,NGO
7789,AWCC,Action for Women and Children Concern,NGO
619,AYED,Action for Youth & Environmental Development,NGO
9726,AGA,Action Girls Africa,NGO
9108,AHD,Action Hands for Development,NGO
8853,AHI,Action Health Incorporated,NGO
11761,AHDD,Action Humanitaire et de Développement Durable,NGO
9142,ACHUDE,Action Humanitaire pour le Developpement,NGO
1219,ACHDEV,Action Humanitaire pour le Développement,NGO
9603,AIPD,Action Initiative for Peace and Development,NGO
33,ASAL,Action in Semi-Arid Lands,NGO
11150,AIDE,Action Intégrée pour le Développement et la protection de l'Environnement,NGO
998,ALRAD,Action-Line Rehabilitation and Development Organization,NGO
7867,ALDEPA,Action Locale pour un Développement Participatif et Autogéré,NGO
2186,action medeor e.V.,action medeor e.V.,NGO
9102,AMFRD,Action Mission For Rural Development,NGO
6093,AM,Action Mopti,NGO
10787,ANAD,Action Nationale pour le Développement,NGO
6852,AOAV,Action on Armed Violence,NGO
9369,PACT Burundi,Action Philanthropique au Burundi,NGO
5983,ADEESEN,"Action pour la défense de l'éducation, de la santé et de l'environnement en milieu scolaire au Niger",NGO
9786,AFAR,Action pour la Formation et l'Autopromotion Rurale,NGO
8136,APDC,Action pour la Paix et le Développement en Centrafrique,NGO
10805,APE,Action pour la Paix et l'Education,NGO
9197,APA-NGO,"Action pour la Paix, l'Aide et le Développement",NGO
11807,APRODEV,Action pour la promotion de développement durable,NGO
11234,APSME,Action pour la Promotion de la Santé de la Mère et de l’Enfant,NGO
11684,APROSPEN,"Action pour la Promotion de la Santé, la Production et l’Environnement",NGO
11199,APES,Action pour la Promotion de l’Environnement Social,NGO
9388,APROBES,Action pour la Promotion du Bien Etre Social,NGO
6689,APSELPA,"Action pour la Protection de la Santé, de l'Environnement et la Lutte contre la Pénurie Alimentaire",NGO
11960,APROSHAV,"Action pour la Protection de la Santé Humaine, Animale et Végétale",NGO
7312,APRPE Soubana,Action Pour la Restauration et la Protection de l'Environnement Soubana,NGO
1325,ABC,Action pour le Bien Etre Communautaire (ABC),NGO
7138,Action Dev,Action pour le Développement,NGO
7247,ADN/Kamna,Action pour le Développement du Niger Kamna,NGO
8109,ADESA,Action pour le Développement du Sahel,NGO
215,ADI-Kivu,Action pour le Développement Intégral au Kivu,NGO
2298,ADID-RDC,Action pour le Développement Intégral et Durable (ADID-RDC),NGO
10762,ADESOH,Action pour le Développement Social et Humanitaire,NGO
1243,ACESS,Action pour l'Education Sociale et la Santé,NGO
10923,ADEID,"Action pour un Développement Equitable, Intégré et Durable",NGO
2041,Action pour un Monde Uni,Action pour un Monde Uni,NGO
7066,APD,Action Programme for Development,NGO
7989,APDév,Action Promotion Développement,NGO
7417,ARDIL,Action Recherche pour le Développement des Initiatives Locales,NGO
4830,AR,Action Refugees,NGO
5355,"Action Refugies, France","Action Refugies, France",NGO
6806,ARS,Action Relief Somalia,NGO
9119,ARDEE,Action Rurale pour un Développement équitable et endogène,NGO
887,ACBF,Actions Communautaires pour le Bien-être Familial,NGO
8642,ACOPE,Actions Concrète pour la Protection de l'Enfance,NGO
5839,ASA,Action Secours Ambulance,NGO
6130,AIDES,Actions et Interventions pour le Développement et l'Encadrement Social,NGO
9695,ARD - Africa,Actions for Rapid Development - Africa,NGO
3443,AMI,Actions Médicales Internationale,NGO
409,ASWED,Action Society for Water Supply Environment and Development,NGO
8760,ASOS,Action Socio-sanitaire Organisation Secours,NGO
8640,ASOV,Action Solidaire aux Vulnérables,NGO
1575,ASTM,Action Solidarité Tiers Monde,NGO
11524,ASSIP,Action Somalia Sustainable Integration Programs,NGO
8925,ABIOGeT,Actions pour la Biodiversité et Gestion des Terroirs,NGO
7345,AGIR,Actions pour la Gestion Intégrée des Ressources Naturelles,NGO
4026,APEE,Actions pour la Protection et l’Encadrement de l’Enfant,NGO
6995,ACSADE,Actions pour la Santé et le Développement de l'Enfant,NGO
11720,ONG ADESP,Actions pour le Développement Economique et Social des Populations,NGO
11200,ADIC,Actions pour le Développement Intégral par la Conservation Communautaire,NGO
4271,ADIMIR,Actions pour le Developpement Integre en Mileu Rural,NGO
6719,ASIP,Action Sustainability and Improvements Programme,NGO
11797,ATPIR,Action Tchadienne pour la Promotion des Initiatives Rurales,NGO
6903,ATEDEC,Action Technique pour un Développement Communautaire,NGO
8127,AV,Action Verte,NGO
4245,ADA,Active Development Aid,NGO
1245,ACTPIN,Active for People in Need,NGO
3053,ADA,Active in Development Aid,NGO
2863,ALNAP,Active Learning Network for Accountability and Performance,Private organization/foundation
10635,APDA,Active Partner for Development Agency,NGO
760,AYA,Active Youth Agency,NGO
5928,ANDP,Activist Network for Disabled People,NGO
2515,ACT Netherlands,ACT Netherlands,NGO
7431,Act Now,Act Now Organization,NGO
6571,AMI,Acts of Mercy International,NGO
9339,ATH,Act Together for Humanity International,NGO
1466,Actuemos,Actuemos Ecuador,NGO
4668,ACP,Acumet Catholic Parish,NGO
3868,APS,Acupuncture Psycho service,NGO
1966,ACU/START,ACU/START,NGO
4561,ADA,ADA,NGO
5225,APEDI,Adakar Peace & Development Initiatives,NGO
8120,AUN-API,Adamawa Peace Initiative,NGO
2804,Adam's Peak,Adam's Peak,NGO
8446,Adana Metropolitan Municipality,Adana Metropolitan Municipality,Government
2730,ADC Foundation,ADC Foundation,Private organization/foundation
621,Ad Council,Ad Council,NGO
10608,AAU,Addis Ababa University,Private organization/foundation
7428,ADD Organization,Addition for Disaster assistance and Development,NGO
9157,AM,Addresses of Mercy,NGO
7334,Adeegto,"Adeegto ""servant of Somali women and girls""",NGO
10564,AAOF,Aden Abdulle Osman Foundation,NGO
10397,ADH,ADH,NGO
4047,Admira,Admira,NGO
5264,Adobe,Adobe,Private organization/foundation
11934,ACUTE,Adolescent and Child Urgent Threat Evaluation South Sudan,NGO
6804,AAC,Adopt-A-Camp,NGO
3837,ADRA/HI,ADRA/HELP International,NGO
3326,ADRA/SCDO,ADRA/SCDO,NGO
3930,ADU_04,ADU_04,NGO
9651,ADAFIN,Advance Africa Initiative,NGO
4152,ASEP,Advancement for Small Enterprise Programme,NGO
8765,Advance,Advance - South Sudan,NGO
431,Advantest Corporation,Advantest Corporation,Private organization/foundation
4695,ADRA,Adventist Development and Relief Agency,NGO
1643,Advent Software,Advent Software,Private organization/foundation
8122,AWCO,Advocacy for Women,NGO
1927,ARTS Foundation,"Advocacy, Research, Training and Services (ARTS) Foundation",Private organization/foundation
11748,ARTS,"Advocacy, Research, Training and Services Foundation",NGO
986,ADCORD,Advocates Coalition for Rights and Development,NGO
5150,Aertze der Welt e.V.,Aertze der Welt e.V.,NGO
4631,Aerzte für die Dritte Welt,Aerzte für die Dritte Welt,NGO
3019,AETF,AETF,NGO
1787,Aetna Foundation,Aetna Foundation,Private organization/foundation
7403,AFAK,AFAK Future for Capacity Building,NGO
7224,Afaq,Afaq Academy,NGO
11404,AFAQ,AFAQ Humanitarian Relief Organization,NGO
8989,Afaq Jad,Afaq Jadeeda Association,NGO
8363,AOYDR,Afaq Organization for Youth Development and Rehabilitation,NGO
7942,AFD D.F,AFD Development Foundation,NGO
2937,Afghanaid,Afghanaid,NGO
11363,AABRAR,Afghan Amputee Bicyclists for Rehabilitation And Recreation,NGO
1122,ABR,Afghan Bureau for Reconstruction,NGO
1298,Afghan Center,Afghan Center,NGO
1539,ACSDO,Afghan Co-operation for Safety and Development Organizations,NGO
4108,ADA,Afghan Development Association,NGO
5846,AGDO,Afghan Global Development Organization,NGO
1967,AHSAO,Afghan Health and Social Assistance Organisation,NGO
5354,AHDS,Afghan Health & Development Services,NGO
5190,AHDRO,Afghan Horticulture Development and Rehabilitation Organization,Private organization/foundation
4705,AAD,Afghanischer Arzteverein in Deutschland e.V.,NGO
1074,ABFO,Afghanistan Bright Future Organization,NGO
5888,ACTD,Afghanistan Center for Training and Development,NGO
1399,ACTO,Afghanistan Children Training Organization,NGO
1411,AD,Afghanistan Demain,Private organization/foundation
4986,ADEO [Afghanistan],Afghanistan Development & Educational Organization,NGO
7871,Afghanistan ERF (until 2014),Afghanistan ERF (until 2014),Pooled fund
3089,Afghanistan,"Afghanistan, Government of",Government
3931,Afghanistan-Hilfe e.V.,Afghanistan-Hilfe e.V.,NGO
8148,Afghanistan Humanitarian Fund,Afghanistan Humanitarian Fund,Pooled fund
4160,AIHRC,Afghanistan Independent Human Rights Commission,NGO
5961,AiN,Afghanistankomiteen i Norge,NGO
1396,ALSO,Afghanistan Landmine Survivors' Organisation,NGO
1073,ANCC,Afghanistan National Re-Construction Co-ordination,NGO
6729,ARPD,Afghanistan Reconstruction and Planning Department,NGO
1974,ASO,Afghanistan Solidarity Organization,NGO
1042,ALO,Afghan Literacy Organization,NGO
1973,AMRAN,Afghan Mobile Reconstruction Association,NGO
3770,ANRS,Afghan Nation for Reality Services,NGO
6919,ANSO,Afghan NGO Security Office,NGO
8043,APA,Afghan Planning Agency,NGO
1481,ARTF,Afghan Reconstruction Trust Fund,Inter-governmental
2715,Afghanistan RC,Afghan Red Crescent,Red Cross/Red Crescent
4022,AREU,Afghan Research and Evaluation Unit,Private organization/foundation
6099,ASAARO,Afghan Social and Agricultural Affairs Rehabilitation Organization,NGO
4449,ASDO,Afghan Social Development Organization,NGO
2720,ATC,Afghan Technical Consultants,NGO
607,ATDSO,Afghan Trust Development Service Organization,NGO
575,Award,Afghan Women Association for Rehabilitation & Development,NGO
5061,AWEN,Afghan Women Enterprise Network,NGO
11715,AWRO,Afghan Women Rights Organization,NGO
5125,AWEC,Afghan Women's Educational Center,NGO
2621,AWN,Afghan Womens Network,NGO
8754,AFIF,AFIF Charity,NGO
7828,AFKAR,AFKAR for Educational and Cultural Development,NGO
10401,AFKAR,Afkar Foundation,NGO
4470,Afkar,Afkar Society for Development and Human Relief,NGO
1313,Aflac,Aflac,Private organization/foundation
142,AFMAL,AFMAL,NGO
7869,AREDO,Afrah Relief Emergency and Development Organization,NGO
3165,A2N,Africa 2000 Network,NGO
3355,ANU,Africa 2000 Network-Uganda,NGO
3054,Africa 70,Africa 70,NGO
11592,2AV,Africa Agriculture Vision,NGO
9864,AA-Z,Africa AHEAD (Applied Health Education and Development),Private organization/foundation
10558,AFRAS,Africa Aid Service,NGO
1182,AMERA,Africa and Middle East Refugee Assistance,NGO
1080,AAI,Africa Arise International,NGO
3682,ACHM,Africa Centre for Holistic Management,NGO
11927,ACSO,Africa Charity and Solidarity Organization,NGO
10507,ACCN,Africa Child Care Nation,NGO
1177,ACHI,Africa Child help Initiative,NGO
8158,ADA,Africa Development Aid,NGO
7514,ADC,Africa Development Corps,Private organization/foundation
10595,ADI,Africa Development Initiative,NGO
3447,Africa Directo,Africa Directo,NGO
3028,AET,Africa Educational Trust,NGO
538,AHANI,Africa Health and Nutrition Group International,NGO
2181,AHA,Africa Humanitarian Action,NGO
7688,AHO,Africa Humanitarian Organization,NGO
9869,Africaid,Africaid - Zvandiri Programme,NGO
181,AIC,Africa Inland Church,NGO
9015,ALA,Africa Life Aid,NGO
9153,ALSO,Africa Life Solution Organization,NGO
10867,AFRINET,Africa Millennium Development Network,NGO
1902,AMA,Africa Muslims Agency (Johannesburg),NGO
10480,AAI,African Aid Initiative,NGO
10526,ABLE,African Backing for Life Enhancing,NGO
9642,ACCDO,African Center for Child Development Organization,NGO
150,ACHA,African Centre for Human Advocacy,NGO
6837,ACV-Kenya,"African Centre for Volunteers, The",NGO
654,ACO,African Child Organization,NGO
1390,ACOT,African Child Outreach Trust,Private organization/foundation
9698,ACKAP,African Christian Kush Aid Program,NGO
2239,ACHPR,African Commission Human and People's Rights,NGO
11935,AFRICAN - CDR,African Community Agency for Development and Relief,NGO
6766,ACDO,African Community Development Organization,NGO
2324,ADEO,African Development and Emergency Organisation,NGO
3787,AfDB,African Development Bank,Inter-governmental
3898,ADEN,African Development Network,NGO
6853,ADESO,African Development Solutions,NGO
6834,ADT,African Development Trust,NGO
8788,ADA,African Disability Association,Private organization/foundation
8891,AEC,African Entrepreneur Collective,Private organization/foundation
3487,AFH,African Family Health,NGO
10949,AFENET,African Field Epidemiology Network,NGO
2430,AFFAIDS,African First Aids,NGO
10566,AFAR,African Foundation for Agricultural Revolution,NGO
1151,AFE,African Foundation for Education,NGO
8919,AHADO,African Humanitarian Aid Development Organization,NGO
9393,AHA,African Humanitarian Aid International,NGO
9044,AHC,African Humanitarian Corps,NGO
10549,AIWE,African Indigenous Women Empowerment,NGO
6814,AIRD,African Initatives for Relief and Development,NGO
41,AIAS,African Institute for Agrarian Studies,Private organization/foundation
10873,AJA,African Justice 4 Peace Association,NGO
985,ALSI,African Leadership Skills Initiative,NGO
4292,AMREF,African Medical and Research Foundation,NGO
5327,AMIB,African Mission in Burundi,Inter-governmental
6622,ANPPCAN-SOM,African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,NGO
3467,ANPPCAN-ZIM,African Network for the Prevention and Protection Against Child Abuse and Neglect in Zimbabwe,NGO
6507,African Rainbow Minerals,African Rainbow Minerals,Private organization/foundation
10587,ARA,African Relief Action,NGO
6112,ARD International,African Relief and Development,NGO
8992,ARDF,African Relief and Development Foundation,NGO
617,AFDO,African Relief and Development Organization,NGO
6905,ARDI,African Relief Development initiative,NGO
10259,ARS (CAR),African Relief Service (Central African Republic),NGO
6095,ARAW,African Renaissance At Word,NGO
4161,AFREC,African Rescue Committee,NGO
2829,ARM,African Revival Ministries,Private organization/foundation
618,ARAO,African Rural Advancement Organization,NGO
3850,African Union,African Union,Inter-governmental
1621,AMISOM,African Union Mission in Somalia,Inter-governmental
2806,AMIS,African Union Mission in Sudan,Inter-governmental
627,AVORD,African Volunteers for Relief and Development,NGO
7133,AWESO,African Water Environnement and Sanitation Organization,NGO
8233,AWARD,African Women Action Resilient for Development,NGO
10744,AWICO,African Women and Children Organisation,NGO
10756,AFRYDEV,African Youth for Peace Development and Empowerment Foundation,NGO
3031,Africare,Africare,NGO
4078,Africare/CRS,Africare/Catholic Relief Services,NGO
2832,Africa Rehabilitation (AREP),Africa Rehabilitation (AREP),NGO
6953,Africa Relief Committee,Africa Relief Committee,NGO
2909,ASAP,Africa Self Help Assistance Programme,NGO
5776,AFTS,Africa Solidarity Trust Fund,Private organization/foundation
10500,ASCDO,Africa Stand for Children Development Organization,NGO
11933,AWHO,Africa Women Help Organization,NGO
1051,AWECO,Africa Women Welfare Committee,NGO
9661,AYEO,Africa Youth Empowerment Organization,NGO
9765,AFCOM,Afric'ompetence,NGO
7049,ASF,Afrique sans Frontières,NGO
1034,ASA,Afrique Secours Assistance,NGO
1204,ASOL-Suisse,Afrique Solidarité - Suisse,NGO
4602,AVB,Afrique Verte Burkina,NGO
2790,AVM,Afrique Verte Mali,NGO
5231,Afrique Verte Niger,Afrique Verte Niger,NGO
4492,ACEM,Afro-Canadian Evangelical Mission,NGO
615,ADF,Afrocare Development Foundation,NGO
11737,AGAOF,Against All Odds Foundation,NGO
9417,AGUF,Agaji Global Unity Foundation,NGO
11546,AKAH,Aga Khan Agency for Habitat,NGO
1971,AKDN,Aga Khan Development Network,NGO
4761,AKF,Aga Khan Foundation,NGO
3101,AKFT,Aga Khan Foundation Tajikistan,Private organization/foundation
8627,AKRSP,Aga Khan Rural Support Programme,Private organization/foundation
7311,Agape,Agape,NGO
7078,Agbetsi,Agbetsi International,NGO
11540,AAF,AGCO Agriculture Foundation,Private organization/foundation
1502,AGEF,AGEF,NGO
11678,ACCO,Ageing Community Care Organisation,NGO
10624,Age International,Age International,NGO
6661,ACMSEP,Agence Centrafricaine pour le Marketing Social et l’Expertise en Projets,NGO
2738,AARREC,Agence d'Assistance aux Rapatries et Refugies au Congo,NGO
6783,ADES,Agence de Développement Economique et Social,NGO
9759,ADEPTE,Agence de Développement Participatif et de la Technologie,NGO
9946,AFD,Agence Française de Développement,Private organization/foundation
1230,AHA,Agence Humanitaire Africaine,NGO
3706,AIDE,Agence Inter-régionale pour le Développement,NGO
10412,AACID,Agencia Andaluza de Cooperación Internacional para el Desarrollo,Government
11003,ConQuito,Agencia de Promoción Económica ConQuito,NGO
6565,AADA,Agency for Assistance and Development of Afghanistan,NGO
10701,ACEPT,"Agency for Community Empowerment, Participation and Transformation",NGO
2175,ACORD,Agency for Cooperation and Research in Development,NGO
